county_fips,state_po,Civilian_labor_force_2020,Employed_2020,Unemployed_2020,Unemployment_rate_2020,Median_Household_Income_2022,"Less than high school graduate, 2019-23","High school graduate (or equivalency), 2019-23","Some college or associate degree, 2019-23","Bachelor's degree or higher, 2019-23",CENSUS_2020_POP,"Joseph Biden Votes, 2020","Donald Trump Votes, 2020","Jo Jorgensen Votes, 2020","Green Party Votes, 2020","Other Votes, 2020","Total Votes, 2020"
36001,1,159599,148570,11029,6.9,76997,14567,45949,56250,96130,314848,99474,51081,1523,779,1870,154727
36003,1,19452,17943,1509,7.8,55466,2495,10438,9540,7317,46456,6048,14135,338,88,286,20895
36005,1,613070,514858,98212,16,45864,231663,266402,233903,205925,1472654,355374,67740,775,1420,7090,432399
36007,1,83619,76645,6974,8.3,60533,11764,38708,40376,40032,198683,47010,43800,1104,432,1148,93494
36009,1,33738,30661,3077,9.1,52383,5704,21229,15044,10940,77042,11879,22155,450,113,421,35018
36011,1,36143,33395,2748,7.6,64129,6087,17076,18687,13128,76248,16149,19512,399,185,515,36760
36013,1,54000,49387,4613,8.5,55644,8876,29205,28228,22218,127657,23087,34853,756,203,871,59770
36015,1,36033,32996,3037,8.4,56664,5328,19255,18154,15715,84148,16636,21922,560,117,476,39711
36017,1,22189,20716,1473,6.6,60755,3805,13931,9551,6475,47220,8290,13482,316,107,222,22417
36019,1,36208,33432,2776,7.7,65272,6484,17819,15876,14726,79843,18364,16514,279,121,359,35637
36021,1,30972,29126,1846,6,83533,4020,13287,12028,18050,61570,20386,14464,357,185,389,35781
36023,1,22854,21093,1761,7.7,58274,2655,9272,9010,8277,46809,10369,10789,295,113,326,21892
36025,1,19018,17692,1326,7,61424,3179,12303,8828,8853,44308,9143,13387,268,81,195,23074
36027,1,145036,134383,10653,7.3,90740,17317,52992,57099,83972,295911,81443,66872,1247,578,1749,151889
36029,1,446586,405707,40879,9.2,69888,50862,173751,199479,248289,954236,267174,197527,4439,1986,5661,476787
36031,1,16906,15574,1332,7.9,62376,2457,9581,7828,9052,37381,9947,8976,173,73,301,19470
36033,1,19507,17955,1552,8,59192,4245,11347,9931,7959,47555,9253,9668,173,77,249,19420
36035,1,22975,21075,1900,8.3,61512,4390,13686,12011,8073,53324,7931,15378,248,73,442,24072
36037,1,29610,27513,2097,7.1,68973,3115,15321,13472,9864,58388,9625,18876,456,109,365,29431
36039,1,20632,18984,1648,8,71433,4061,11870,9839,10491,47931,10346,14271,305,121,277,25320
36041,1,2199,2029,170,7.7,62149,442,1280,1301,1112,5107,1178,2225,41,7,38,3489
36043,1,28065,25851,2214,7.9,62197,3562,14602,15046,9706,60139,9937,18870,298,98,357,29560
36045,1,44233,40513,3720,8.4,58763,6491,23947,25040,19164,116721,17307,25629,537,186,470,44129
36047,1,1202125,1052319,149806,12.5,73244,292418,446123,346253,764053,2736074,703310,202772,2504,3978,7816,920380
36049,1,11644,10775,869,7.5,64452,1596,7903,5392,3586,26582,3824,8894,126,46,146,13036
